model,family_track,act_tier,act_graftability,iterative_structure,act_insertion_point,act_effort,github_url,github_status
XPert,Chemical/Drug,MEDIUM-HIGH,"MEDIUM-HIGH — the closest thing in this family to an unrollable iterative core: an explicitly-looped block stack with config-controlled step count and a running cell_embed state. Route (a) learned early-exit / halting over existing CA/SA blocks (MEDIUM; blocks untied, halting head reads cell_embed after each, ponder cost penalizes depth). Route (b) add a weight-tied refinement block looped to convergence with an ACT halting head (HIGH fidelity to the thesis, more engineering).","YES — stacked transformer whose block sequence is set by a config string. AttnEncoder.forward iterates 'for layer_type in self.layers:' over crossEncoders/selfEncoders. Step-count = length of trt_structure/ctl_structure (config['model']['ATTN']['*_structure']; config_l1000.yaml: trt_structure 'CA+SA+SA+CA', ctl_structure 'SA+SA+SA+SA', n_heads 8, hidden_size 256). Blocks are separately parameterized (ModuleList, BERT-style, not weight-tied); an inter-layer residual injection (cell_embed = cell_embed + lambda*drug_specific_gene_embedding) provides a running state / convergence signal on cell_embed.","In AttnEncoder.forward (models/model_XPert.py), after each block updates cell_embed insert a halting MLP h_t=sigmoid(W.pool(cell_embed)); accumulate halting mass, stop when Sum h_t >= 1-eps (Graves ACT); add ponder-cost term in train_xpert.py loss. For a weight-tied variant, wrap a single crossEncoder+Encoder pair in the loop instead of the ModuleList.",MEDIUM (early-exit over existing blocks) to HIGH (weight-tied refinement core),https://github.com/GSanShui/XPert,VERIFIED_ACTIVE
AIDO.Cell (FM backbone),Foundation/Adaptation,MEDIUM,MEDIUM alone; HIGH via the generative heads built on it (see AIDO.Cell perturbation row).,"transformer FM, fixed depth; no runtime loop ALONE. HIGH when paired with generative heads (AIDO.Cell perturbation repo).",n/a as backbone; graft on the diffusion/flow head or PertAdapt adapter.,MEDIUM.,https://github.com/genbio-ai/ModelGenerator,VERIFIED_ACTIVE
CellOT,OT/Flow/Diffusion,MEDIUM,"MEDIUM -- no native loop, but OT supplies a principled refinement axis: discretize McCann displacement x_t=(1-t)x+t*grad g(x) into K sub-steps, or iterate a residual correction, with a halting head reading the per-step W2 residual.","Single-shot: T(x)=grad g(x), one autograd.grad call, no loop. Only step-like knob = scalar dosage interpolation along the displacement in transport.py (not an iterated T-step trajectory). No unrolled solver in code.",Wrap transport_cellot() in cellot/transport.py: replace one-shot g.transport(x) with a K-step displacement/residual loop; add a halting MLP reading compute_w2_distance (models/cellot.py) per step to decide convergence of the pushforward.,MEDIUM,https://github.com/bunnech/cellot,VERIFIED_ACTIVE
Geneformer (FM backbone),Foundation/Adaptation,MEDIUM,MEDIUM (uniform transformer; needs weight-tying).,fixed transformer depth; no runtime loop.,transformer encoder stack (HF model).,MEDIUM-HIGH.,https://huggingface.co/ctheodoris/Geneformer,VERIFIED_ACTIVE
Stack (In-Context Learning of Single-Cell Biology),Foundation/Adaptation,MEDIUM,MEDIUM. Make the 6 tabular-attention layers a weight-shared recurrent block + add per-step halting head (ACT/Universal Transformer). Not HIGH because current layers are NOT weight-shared (distinct modules) so halting needs weight-tying+retrain or per-depth early-exit.,_run_attention_layers loops over n_layers=6 TabularAttentionLayers (homogeneous repeated block). Step-count = n_layers (constructor arg). Classic repeatable-transformer-block that Universal-Transformer/ACT targets.,"StateICLModelBase._run_attention_layers in src/stack/models/core/base.py -- replace 'for layer in self.layers' with a shared-layer while-not-halted loop, add halting MLP on running embedding x + ponder cost; forward returns halt distribution.",MEDIUM-HIGH (weight-tying tabular block + retraining is the real cost).,https://github.com/ArcInstitute/stack,VERIFIED_ACTIVE
UNAGI,Transfer/Spatial,MEDIUM,"MEDIUM. The EM iteration loop is a real unrollable core -- add a convergence/halting criterion so max_iter becomes data-adaptive (halt when embeddings/graph stabilize) + ponder cost. But mapping to a PER-perturbation halting signal (user's goal) is indirect: the EM loop is dataset-global and the per-perturbation BFS halts on graph topology, not learned complexity.",TWO genuine multi-step loops: (a) training EM loop `for iteration in range(max_iter)` in UNAGI_tool.py::run_UNAGI; (b) inference PPI-BFS `while` loop in new_perturbation_strategy.py::_BFS. Step counts are meaningful and (a) is a real unrollable core.,"Replace `for iteration in range(start_iteration, self.max_iter)` in UNAGI/UNAGI_tool.py::run_UNAGI with a convergence-gated `while not halt` loop + a halting head reading inter-iteration embedding/graph delta (ponder cost on iteration count); OR add a learned stopping criterion to _BFS in UNAGI/perturbations/new_perturbation_strategy.py. The training loop is the more natural adaptive-depth host.",MEDIUM,https://github.com/mcgilldinglab/UNAGI,VERIFIED_ACTIVE
X-Cell,OT/Flow/Diffusion,MEDIUM,"MEDIUM (paper/stub-only; would be HIGH if code matched the API) -- a masked-diffusion decoder with n_diffusion_steps is structurally a per-step loop that would host a halting head, but there is no code loop to attach to today.",Stub API exposes n_diffusion_steps: int = 4 (explicit iterative masked-diffusion decode rounds over the cell set) in src/xcell/model.py predict() signature -- the refinement-round analog. BUT the actual denoising loop is NOT in released code (predict raises NotImplementedError).,Prospective: the (unreleased) masked-diffusion decode loop implementing n_diffusion_steps in src/xcell/model.py::XCell.predict; a halting head would read per-step token/expression change over the cell set. Not attachable until code is released.,HIGH,https://github.com/xaira-therapeutics/x-cell,VERIFIED_NO_MODEL_CODE
scFoundation (FM backbone),Foundation/Adaptation,MEDIUM,"MEDIUM (as a frozen backbone; ACT would attach to the perturbation head on top, e.g. PertAdapt).","Performer/MAE stack, fixed depth; no runtime loop.",n/a as backbone; graft on the adapter/head (see PertAdapt).,MEDIUM.,https://github.com/biomap-research/scFoundation,VERIFIED_ACTIVE
scGPT (FM backbone),Foundation/Adaptation,MEDIUM,MEDIUM (uniform stack; needs weight-tying for a shared ACT block).,fixed transformer depth (config); no runtime loop.,transformer encoder stack in scgpt/model/model.py / generation_model.py.,MEDIUM-HIGH.,https://github.com/bowang-lab/scGPT,VERIFIED_ACTIVE
scGenePT,Foundation/Adaptation,MEDIUM,"MEDIUM. Uniform transformer stack could become a weight-shared ACT block (not weight-shared today). Could also iterate the MLM head (re-feed predicted expression), but no native refinement loop.","scGPT TransformerEncoder is a fixed nlayers stack -- one forward; step-count = transformer depth (config), not a runtime loop.",transformer_encoder call inside scGenePT._encode/forward (models/scGenePT.py) -- wrap encoder layers in a shared-block halting loop; or iterate pred_perturb_from_ctrl with a convergence/halting check.,MEDIUM-HIGH (rides scGPT; weight-tying + retrain).,https://github.com/czi-ai/scGenePT,VERIFIED_ACTIVE
CONCERT,Transfer/Spatial,LOW-MEDIUM,"LOW-MEDIUM. VAE encode->decode is single-shot, but the SVGP posterior over a spatial graph is conceptually iterable (repeated GP conditioning over neighbors) and the decoder could be unrolled as iterative refinement of spot expression given neighbor states -- a POSSIBLE but non-native refinement axis.",No refinement recurrence controlling single-perturbation prediction quality. The two `for l in range(GP_dim)` loops are over latent dimensions; the num_samples loop is MC sampling. No diffusion/ODE/message-passing depth axis.,"Wrap the decode in CONCERT.forward (src/concert_map.py, after z=latent_dist.rsample(); h=self.decoder(z)) in a `for t in range(T)` loop that re-conditions the SVGP posterior on updated neighbor predictions, with a per-step halting MLP on latent mean; requires exposing svgp.approximate_posterior_params as a repeatable operator.",HIGH (convert amortized GP-VAE into an unrolled iterative refiner),https://github.com/mims-harvard/CONCERT,VERIFIED_ACTIVE
STAMP,KnowledgeGraph/GRN,LOW-MEDIUM,"LOW-MEDIUM. The 3-stage cascade is a semantic decomposition -- extra steps have no defined target, so you cannot simply 'run more steps'. No homogeneous repeatable block for per-perturbation halting. Closest is an 'early-exit after subtask k' which is not per-perturbation refinement of a single endpoint.","Fixed 3-stage semantic cascade (subtask-1 DEG -> subtask-2 direction -> subtask-3 magnitude), NOT a repeated/recurrent block. Step count fixed at 3 and heterogeneous (each stage a different task + different MLP); no tunable message-passing/refinement depth.","none native for a per-perturbation halting loop; would require re-architecting the heterogeneous cascade (stamp/Modules.py TaskCombineLayer_multi_task.forward) into a recurrent refinement, or making each MLP stage internally iterative.",HIGH,https://github.com/bm2-lab/STAMP,VERIFIED_ACTIVE
cycleCDR,Chemical/Drug,LOW-MEDIUM,"LOW-MEDIUM — as a cell-response refiner: LOW (single generator pass). Unrolling the GAT message-passing rounds is MEDIUM but off-target (halting would describe molecular-graph convergence, not response complexity).","Weak/borderline. (i) Cycle is a fixed 2-hop A->B->A composition, not variable-length. (ii) The GAT drug encoder does a fixed number of message-passing rounds — an unrollable graph-iteration axis, but in the molecule branch, not the cell-response path.","Either (a) iterate encoderG_A->(+drug)->decoderG_A in netG_A (cycleCDR/model/model.py) as a refinement loop with a halting head on the latent, or (b) add a halting head over GAT layers in cycleCDR/model/gat.py.",MEDIUM,https://github.com/hliulab/cycleCDR,VERIFIED_ACTIVE
scLAMBDA,Foundation/Adaptation,LOW-MEDIUM,"LOW-MEDIUM. Latent-arithmetic form (x=Decoder(z+s)) invites iterative refinement of s (successive latent corrections with halting), but nothing iterative exists today; adding it is an architectural change.",none unrollable -- encoders/decoders are fixed MLPs; only 'steps' are training epochs. No recurrent/diffusion/message-passing loop in forward.,Wrap the z+s->Decoder_x step in Net.forward (sclambda/networks.py) in a refinement loop with a halting MLP on the latent; retrain.,MEDIUM-HIGH.,https://github.com/gefeiwang/scLAMBDA,VERIFIED_ACTIVE
CODEX,Chemical/Drug,LOW,LOW — single-shot; the per-treatment loop is not a refinement axis.,"None. The 'for t in range(num_treatments)' loop is a masked scatter-add over treatment CHANNELS (each iteration a different weight matrix), not a repeatable computation over the same input; step count = #treatments, fixed by data. Not unrollable in the ACT sense.",Wrap encoder->latent_rep->decoder in CODEXReconstruction.forward (codex/CODEX_reconstruction.py) in a shared-weight recurrent block with halting on latent_rep; net-new.,HIGH,https://github.com/sschrod/CODEX,VERIFIED_ACTIVE
Cell Painting CNN (DeepProfiler),OT/Flow/Diffusion,LOW,LOW -- pure feed-forward classifier/encoder; no refinement axis. Out of scope for adaptive-refinement halting.,"None -- single forward pass through a fixed EfficientNet (GlobalAveragePooling2D -> Dense). No recurrence, diffusion, or solver. Depth is architectural.",None natural -- would require replacing the EfficientNet with an iterative model. No unrollable compute-time loop in deepprofiler/profiling.py build_model.,HIGH,https://github.com/cytomining/DeepProfiler,VERIFIED_ACTIVE
CellCap,KnowledgeGraph/GRN,LOW,"LOW. Single attention pass + linear decoder; no repeatable refinement block. Could iterate the attention->delta_z->re-encode loop as a recurrent refinement of z, but that fixed-point interpretation is not in the code.","none with variable step count. The multi-head attention loop 'for i in range(self.n_head)' is PARALLEL heads combined by torch.max -- a single attention pass, not sequential refinement. Decoder is linear; no message passing / diffusion / flow steps.",none native; would wrap the inference() attention->delta_z step (cellcap/model.py:169) into an added recurrent refinement of z -- an architectural change.,HIGH,https://github.com/broadinstitute/CellCap,VERIFIED_ACTIVE
Cradle-VAE (CRADLE-VAE),Chemical/Drug,LOW,LOW — single-shot amortized VAE; the additive plated-latent generative model has no unrollable refinement core.,None in the neural forward pass. z = z_basal + D@(E*mask) then decoder — single-shot generative + amortized guide. No recurrence/diffusion/unrolled solver.,"Would need to make the guide's z_basal inference iterative (e.g., iterative amortized inference / unrolled SVI) in cradle_vae/models/cradle_vae/guides/*.py with a halting head; net-new and off the generative path.",HIGH,https://github.com/dmis-lab/CRADLE-VAE,VERIFIED_ACTIVE
GenePert,Foundation/Adaptation,LOW,LOW. No iterative core. Useful as a baseline anchor for the ACT study (its predicted Delta / #DE genes are effect-size covariates to regress out).,none (linear model; MLP variant is 2-layer feed-forward).,n/a.,HIGH / not applicable.,https://github.com/zou-group/GenePert,VERIFIED_ACTIVE
IMPA,OT/Flow/Diffusion,LOW,"LOW -- single feed-forward generator, no natural refinement axis. Could in principle iterate the generator (feed output back as input, image-space fixed-point) but it is not trained that way and image round-trips degrade.","None -- Generator.forward is a single-shot encoder->decoder pass; the encode/decode 'for block in self.encode/decode' loops are a FIXED-DEPTH CNN stack, not an iterable whose step count varies (changing depth changes architecture/params). GANs generate in one shot. No diffusion/ODE/recurrence.","No clean insertion point. The only unrollable object is the fixed decoder block stack in Generator.forward (IMPA/model.py) whose depth is structural, not a compute-time variable. Grafting ACT would require re-architecting to an iterative (e.g. diffusion) generator.",HIGH,https://github.com/theislab/IMPA,VERIFIED_ACTIVE
PRnet,Chemical/Drug,LOW,LOW — single-shot CVAE; no unrollable core.,None. Fixed MLP encoder/decoder; no recurrence/diffusion/ODE. Latent z and c computed once.,Iterate the z->decoder mapping in PGM.forward (models/PRnet.py) as a latent refinement loop with a halting head on z; net-new machinery.,HIGH,https://github.com/Perturbation-Response-Prediction/PRnet,VERIFIED_ACTIVE
PrePR-CT (Cell-Type-Specific-Graphs),Transfer/Spatial,LOW,"LOW. Feed-forward GAT encoder + MLP predictor, fixed depth, no natural refinement axis. Grafting ACT requires INVENTING an iterative core (e.g., residual re-application of lin_predict), which the architecture does not contain.","NONE that is step-count-varyable. Only loop in forward() is over cell-type keys (data parallelism), not depth. Fixed 2 GNN conv layers -> single-shot.","Would wrap GNN.lin_predict in model.py in a `for step in range(T)` residual-update loop with a per-step halting MLP on the pooled cell-type+pert embedding -- i.e., add the iterative core from scratch. Not native.",HIGH (must introduce the iterative refinement loop that does not currently exist),https://github.com/reem12345/Cell-Type-Specific-Graphs,VERIFIED_ACTIVE
SAMS-VAE,KnowledgeGraph/GRN,LOW,LOW. Amortized single-shot VAE; only repeatable axis is decoder MLP depth (no fixed-point/refinement semantics). Could add iterative-amortized-inference (iterative refinement of q(z_basal)) but that is an inference-scheme change not present today.,"none with a variable step-count. Inference is amortized (single encoder forward); decoder is a fixed MLP; n_particles = Monte-Carlo particles, not sequential refinement.","none native; a refinement loop would wrap the guide's z_basal_encoder (sams_vae/models/sams_vae/guides/correlated_normal_guide.py) as iterative amortized VI -- an added scheme, not a graft.",HIGH,https://github.com/insitro/sams-vae,VERIFIED_ACTIVE
Scouter,Foundation/Adaptation,LOW,"LOW. Single-shot; no natural refinement axis. Would require inventing a recurrent generator (predict Delta, re-feed) -- architectural change, not a graft.","none -- pure feed-forward MLP, no repeated/recurrent block.",Would have to make generator recurrent in scouter/_model.py (ScouterModel.forward); not a natural fit.,HIGH (no iterative core to attach to).,https://github.com/PancakeZoy/scouter,VERIFIED_ACTIVE
TranSiGen,Chemical/Drug,LOW,LOW — the z1->z2 bridge is a single linear map; no iteration to unroll.,None. Two parallel fixed-depth VAEs + one linear latent bridge (mu_z2Fz1); no recurrence/diffusion.,"Replace the single mu_z2Fz1 map in TranSiGen.forward (src/model.py) with a recurrent latent-refinement z2^{(t+1)}=z2^{(t)}+g(z2^{(t)},feat) + halting head; net-new.",HIGH,https://github.com/myzhengSIMM/TranSiGen,VERIFIED_ACTIVE
biolord,KnowledgeGraph/GRN,LOW,"LOW. Single-shot amortized encode->decode; the only depth is the decoder MLP, which has no fixed-point/iterative-refinement semantics. Adding ACT would require introducing an iterative latent-refinement loop that does not exist.","none that varies a step count. Decoder is a fixed decoder_depth=4 feed-forward MLP stack (not a repeatable refinement/message-passing block); single encode->decode, no recurrence.","none native; would have to wrap generative() (src/biolord/_module.py) in an added iterative latent-refinement loop -- an architectural change, not a graft onto an existing loop.",HIGH,https://github.com/nitzanlab/biolord,VERIFIED_ACTIVE
chemCPA,Chemical/Drug,LOW,LOW — single-shot feed-forward; no natural refinement axis. Additive-latent design gives no convergence signal to halt on; ACT would require inventing a recurrent core.,"None. Encoder/decoder are fixed-depth MLPs; autoencoder_depth is a static hyperparameter, not an unrolled-per-input loop. No recurrence/diffusion/ODE steps.","Wrap the single 'latent_treated = latent_basal + drug_embedding' update in ComPert.predict (chemCPA/model.py) as a shared-weight recurrent residual z_{t+1}=z_t+f(z_t,drug) with a per-step halting MLP; add ponder loss in chemCPA/lightning_module.py.",HIGH,https://github.com/theislab/chemCPA,VERIFIED_ACTIVE
scELMo,Foundation/Adaptation,LOW,"LOW / n/a for scELMo itself -- ACT would be grafted onto the downstream predictor (CPA/GEARS), not scELMo.",none of its own (it is not the predictor).,n/a (embedding provider).,n/a.,https://github.com/HelloWorldLTY/scELMo,VERIFIED_NO_MODEL_CODE
scRank,Transfer/Spatial,LOW,"LOW. Non-neural R, discrete 1-3 hop propagation, no continuous differentiable iterative core, no learnable per-step gate. ACT is a poor fit.","A network-propagation hyperparameter n_hop (default 2) exists in rank_celltype(), BUT code hard-caps it 1-3 (if(n_hop>3 | n_hop<1) stop) and it only toggles flags simple_sum/multi_layer passed to .calculate_score; .get_downstream_genes is a single-hop neighbor lookup. So the depth axis is discrete, tiny, non-differentiable -- not a genuine unrollable iterative solver.","Conceptually generalize the n_hop/simple_sum/multi_layer branch in R/method.R::rank_celltype into a random-walk-with-restart propagation with a convergence/halting criterion -- but this is a rewrite into a differentiable framework, not an insertion.",HIGH (language + paradigm change from R network method to differentiable iterative model),https://github.com/ZJUFanLab/scRank,VERIFIED_ACTIVE
scVIDR,Chemical/Drug,LOW,"LOW — single encode/decode + algebraic latent shift; no unrollable core. The dose axis is a parameter sweep, not iteration to convergence.","None. VAE encode->(latent add)->decode is single-shot; the 'for d in doses' loop just evaluates the same closed-form dose-scaled shift at several dose values (a sweep, not refinement of one prediction).",Iterate the 'latent_ctrl + delta -> decoder' step in VIDR.predict (vidr/vidr.py) as a refinement loop with a halting head on the latent; net-new machinery.,HIGH,https://github.com/BhattacharyaLab/scVIDR,VERIFIED_ACTIVE
CausalGRN,KnowledgeGraph/GRN,NOT APPLICABLE,"NOT APPLICABLE / LOW. No neural network, no differentiable forward pass, no gradient training -> learned-halting ACT does not apply. One COULD replace the closed-form solve() with an iterative fixed-point solver (Jacobi/Neumann series Delta_x_{t+1}=B*Delta_x_t + f) and count iterations-to-convergence as a numerical response-complexity proxy -- but that is a solver step, not a learned ACT halting mechanism.","Perturbation prediction is a SINGLE closed-form linear SOLVE (solve(I - B_UU, driving_force)); the fixed point is obtained directly, NOT by unrolled iteration. Skeleton inference has a repeat{} threshold search but that is model-selection, not a differentiable refinement step-count.","R/expression_prediction.R .impute_deltas -- swap base::solve for an iterative Neumann-series/power-iteration loop and record steps-to-convergence (numerical, not learned neural ACT).",LOW (to add convergence-step counting) -- but NOT the neural ACT being prototyped.,https://github.com/yub-hutch/CausalGRN,VERIFIED_ACTIVE
